timestamp,roll_deg,pitch_deg,yaw_deg,battery_voltage_V,battery_current_A,battery_temp_C,payload_temp_C,reaction_wheel_rpm
2024-01-01 00:00:00+00:00,0.0609,0.0264,-0.4146,29.8989,2.365,25.2309,25.3131,2963.79
2024-01-01 00:00:10+00:00,-0.1731,0.1613,0.2461,30.0127,2.3252,24.5399,24.9453,3016.24
2024-01-01 00:00:20+00:00,0.2199,-0.168,0.032,29.9003,2.5778,25.1143,25.7507,3012.69
2024-01-01 00:00:30+00:00,0.2928,0.0365,-0.0802,29.9808,2.5649,24.952,24.8057,2996.67
2024-01-01 00:00:40+00:00,-0.2506,0.2301,0.0303,30.0454,2.2221,26.2313,24.6069,2989.3
2024-01-01 00:00:50+00:00,-0.086,0.142,0.3755,30.045,2.3745,25.164,24.5774,3022.28
2024-01-01 00:01:00+00:00,0.2348,0.3787,0.3223,30.1773,2.622,25.1089,25.7368,3009.25
2024-01-01 00:01:10+00:00,0.1808,-0.0514,0.1307,30.0483,2.5868,24.8198,25.2101,3037.54
2024-01-01 00:01:20+00:00,0.2755,-0.0422,-0.0989,29.8924,2.5514,25.4327,25.5022,3013.3
2024-01-01 00:01:30+00:00,0.143,0.3531,-0.0582,29.9882,2.7163,25.8731,26.0658,3019.42
2024-01-01 00:01:40+00:00,0.5242,0.3938,0.4203,30.1724,2.4229,26.2549,25.8292,3053.2
2024-01-01 00:01:50+00:00,0.5385,0.2612,-0.0643,30.1328,2.5639,25.7001,25.293,3013.57
2024-01-01 00:02:00+00:00,0.4307,0.3765,0.2486,30.0851,2.7447,26.4648,26.4868,3008.11
2024-01-01 00:02:10+00:00,0.6775,0.4545,0.9714,30.4219,2.5834,26.1864,25.7903,3021.62
2024-01-01 00:02:20+00:00,0.58,0.2468,0.4389,30.3261,2.7415,26.1518,25.9511,3048.26
2024-01-01 00:02:30+00:00,0.3491,0.289,0.5324,30.2546,2.5364,26.441,25.7607,3084.74
2024-01-01 00:02:40+00:00,0.629,0.4496,0.1044,30.301,2.5985,26.906,25.6691,3052.66
2024-01-01 00:02:50+00:00,0.3978,0.5827,0.0856,30.2683,2.4685,26.5875,26.277,3035.27
2024-01-01 00:03:00+00:00,0.7994,0.2982,0.6141,30.1865,2.4409,26.3308,25.6778,3039.23
2024-01-01 00:03:10+00:00,0.6479,0.4694,0.3671,30.432,2.6917,26.8815,26.2905,3067.11
2024-01-01 00:03:20+00:00,0.6549,0.4883,0.7537,30.4311,2.8442,26.9674,27.0273,3027.33
2024-01-01 00:03:30+00:00,0.5896,0.6135,0.5185,30.1651,2.7731,26.8783,26.7629,3027.45
2024-01-01 00:03:40+00:00,1.0041,0.5752,1.3942,30.4024,2.9779,27.332,26.6129,3072.1
2024-01-01 00:03:50+00:00,0.7624,0.5204,0.4093,30.4303,2.7584,26.4287,26.1616,3088.96
2024-01-01 00:04:00+00:00,0.7412,0.8152,0.6469,30.3813,2.5127,27.3122,26.6458,3092.56
2024-01-01 00:04:10+00:00,0.79,0.5725,0.3732,30.6399,2.8958,27.5297,26.4208,3084.37
2024-01-01 00:04:20+00:00,1.0003,0.6351,0.8767,30.6458,2.6957,26.9488,27.3851,3104.48
2024-01-01 00:04:30+00:00,1.0001,0.4656,0.7508,30.4258,2.8897,27.0272,26.6876,3079.85
2024-01-01 00:04:40+00:00,1.0427,0.6226,0.4222,30.4578,2.5413,27.8599,26.6317,3079.13
2024-01-01 00:04:50+00:00,1.0794,0.8323,0.6048,30.4626,2.856,28.0008,26.9279,3088.76
2024-01-01 00:05:00+00:00,1.4544,0.8282,1.0487,30.4519,3.0158,28.1441,26.7711,3098.78
2024-01-01 00:05:10+00:00,0.9775,0.8951,1.0402,30.4373,3.0106,27.6155,27.2468,3173.77
2024-01-01 00:05:20+00:00,0.9889,0.9128,0.395,30.5964,2.8989,27.9707,27.9496,3095.1
2024-01-01 00:05:30+00:00,0.9611,1.1682,0.6534,30.7581,2.9418,28.0968,27.2926,3105.7
2024-01-01 00:05:40+00:00,1.2793,0.7677,1.2463,30.7331,2.8879,27.5708,26.9891,3139.94
2024-01-01 00:05:50+00:00,1.414,0.6616,0.7702,30.673,2.9306,28.2158,27.3634,3119.35
2024-01-01 00:06:00+00:00,1.1974,0.7716,0.8787,30.3694,3.0821,28.2955,26.9866,3077.75
2024-01-01 00:06:10+00:00,1.084,0.8481,1.1103,30.4396,2.8883,28.5623,28.7126,3148.79
2024-01-01 00:06:20+00:00,1.1188,0.8319,0.5411,30.7482,2.9157,28.2516,28.3517,3123.96
2024-01-01 00:06:30+00:00,1.4452,1.0164,0.6597,30.8195,2.7891,28.8821,28.1982,3063.79
2024-01-01 00:06:40+00:00,1.495,1.2144,0.834,30.7286,3.1356,28.6145,28.068,3115.48
2024-01-01 00:06:50+00:00,1.4861,1.2815,1.2362,30.6582,3.003,29.1862,27.7691,3112.27
2024-01-01 00:07:00+00:00,1.2753,1.1501,1.21,30.8394,2.8739,28.9798,27.8457,3120.25
2024-01-01 00:07:10+00:00,1.4856,1.4195,1.1548,30.7949,3.199,28.921,27.8826,3132.1
2024-01-01 00:07:20+00:00,1.493,1.0685,0.9598,30.8486,3.0727,28.5645,28.9891,3150.31
2024-01-01 00:07:30+00:00,1.5437,0.9007,1.2965,30.5643,2.9805,28.604,28.029,3164.26
2024-01-01 00:07:40+00:00,1.7044,1.327,0.9953,30.7994,3.2378,29.5606,27.9476,3168.05
2024-01-01 00:07:50+00:00,1.6048,0.9165,1.1972,30.9575,3.0646,29.4234,28.1987,3177.08
2024-01-01 00:08:00+00:00,1.7255,1.1022,1.2997,30.8476,2.8923,29.1538,28.5144,3144.07
2024-01-01 00:08:10+00:00,1.6328,1.3165,1.5147,30.9045,3.2833,29.193,26.9818,3109.33
2024-01-01 00:08:20+00:00,1.7064,1.2461,1.0951,30.8279,3.0252,29.4626,28.599,3104.11
2024-01-01 00:08:30+00:00,1.8038,1.2556,1.037,30.8494,3.6159,29.07,27.4915,3172.7
2024-01-01 00:08:40+00:00,1.415,1.1297,1.4698,30.9935,3.1075,29.4101,29.164,3159.05
2024-01-01 00:08:50+00:00,1.6711,1.3277,1.5071,30.8005,2.8835,29.8104,27.9521,3193.24
2024-01-01 00:09:00+00:00,1.6693,1.5022,1.0462,30.8049,3.4603,29.9262,28.3869,3175.6
2024-01-01 00:09:10+00:00,1.6637,1.3768,0.9235,30.8479,3.2,29.6668,28.0077,3134.28
2024-01-01 00:09:20+00:00,1.7643,1.2713,1.522,30.912,3.258,30.3317,29.5611,3160.31
2024-01-01 00:09:30+00:00,2.146,1.2305,0.8242,30.7625,3.2879,30.2388,28.9019,3183.98
2024-01-01 00:09:40+00:00,1.7012,1.3179,0.8285,31.0103,3.0375,29.7677,29.8634,3156.18
2024-01-01 00:09:50+00:00,2.0951,1.5197,1.2016,30.9343,2.9274,29.6879,29.8337,3211.58
2024-01-01 00:10:00+00:00,1.5918,1.5338,1.286,31.0496,3.5563,30.3207,29.604,3175.68
2024-01-01 00:10:10+00:00,1.888,1.3834,1.0119,30.7656,3.0393,30.0782,28.6091,3181.07
2024-01-01 00:10:20+00:00,2.0139,1.1929,1.3487,31.0764,3.5301,30.0915,29.3014,3158.44
2024-01-01 00:10:30+00:00,2.1246,1.6084,1.3759,31.1374,3.3738,30.4199,29.8469,3234.29
2024-01-01 00:10:40+00:00,2.1754,1.4314,1.205,31.0605,3.3314,30.6377,29.5211,3192.64
2024-01-01 00:10:50+00:00,2.2174,1.69,1.8491,31.0324,3.2451,30.7275,29.2825,3205.36
2024-01-01 00:11:00+00:00,2.0142,1.4936,1.4636,31.1285,3.6718,30.5738,29.6359,3187.1
2024-01-01 00:11:10+00:00,2.0165,1.479,1.6535,31.1816,3.2315,29.9357,29.739,3197.66
2024-01-01 00:11:20+00:00,2.3052,1.6701,1.0223,31.1191,3.2456,30.976,29.0335,3214.7
2024-01-01 00:11:30+00:00,2.1198,2.0206,1.0348,31.1388,3.456,30.5129,29.462,3220.22
2024-01-01 00:11:40+00:00,1.927,1.7989,1.5306,31.2568,3.2638,30.9115,30.0142,3226.06
