timestamp,roll_deg,pitch_deg,yaw_deg,battery_voltage_V,battery_current_A,battery_temp_C,payload_temp_C,reaction_wheel_rpm,label,anomaly_type
2024-01-01 00:00:00+00:00,0.060961508,-0.010101752,-0.364607909,29.95029761,2.362917586,25.1176286,25.37594317,2963.761984,normal,none
2024-01-01 00:00:10+00:00,-0.158162723,0.160997023,0.21923584,30.06348186,2.34065578,24.57639991,24.88485,3016.249175,normal,none
2024-01-01 00:00:20+00:00,0.206193107,-0.203892739,0.020730551,29.93493964,2.534494057,25.13682526,25.72713067,3012.667924,normal,none
2024-01-01 00:00:30+00:00,0.248270408,0.14852641,-0.074411099,30.03583955,2.489679932,24.91596454,24.87232206,2996.735339,normal,none
2024-01-01 00:00:40+00:00,-0.273333539,0.277109304,0.034414474,30.03590538,2.23127629,26.26983416,24.67078068,2989.313892,normal,none
2024-01-01 00:00:50+00:00,-0.135582328,0.153949227,0.368046763,30.03525976,2.388308347,25.20381503,24.58504101,3022.347773,normal,none
2024-01-01 00:01:00+00:00,0.23780718,0.330229205,0.354736561,30.15274219,2.625508572,25.08060908,25.73957845,3009.306392,normal,none
2024-01-01 00:01:10+00:00,0.247810762,-0.004472345,0.189077877,30.09940005,2.522840594,24.84560637,25.27460979,3037.552268,normal,none
2024-01-01 00:01:20+00:00,0.250889674,-0.007504487,-0.056945279,29.92220017,2.466558243,25.43637468,25.46699885,3013.268349,normal,none
2024-01-01 00:01:30+00:00,0.111976255,0.32783718,-0.082015667,30.04338884,2.696035868,25.89959886,26.09183434,3019.543694,normal,none
2024-01-01 00:01:40+00:00,0.548692103,0.372728185,0.329363124,30.16147377,2.441222581,26.25868108,25.85837266,3053.207497,normal,none
2024-01-01 00:01:50+00:00,0.55634435,0.186424907,-0.058999855,30.12450916,2.610241763,25.60630446,25.33608198,3013.539304,normal,none
2024-01-01 00:02:00+00:00,0.435970712,0.374049472,0.10942823,30.09010973,2.718245712,26.47391989,26.46625197,3008.121841,normal,none
2024-01-01 00:02:10+00:00,0.630976598,0.501298539,1.004178107,30.42852803,2.507948337,26.12313263,25.77939236,3021.554877,normal,none
2024-01-01 00:02:20+00:00,0.578537409,0.300633617,0.469132357,30.32017367,2.684168401,26.08837599,25.93938506,3048.19164,normal,none
2024-01-01 00:02:30+00:00,0.38386516,0.320849631,0.472678978,30.33258181,2.507651546,26.50428611,25.74115924,3084.711354,normal,none
2024-01-01 00:02:40+00:00,0.561789273,0.494202142,0.132740689,30.31636588,2.629066213,26.89971267,25.66733149,3052.674517,normal,none
2024-01-01 00:02:50+00:00,0.374919212,0.553476712,0.053028277,30.14171601,2.379961692,26.57190129,26.31019843,3035.183781,normal,none
2024-01-01 00:03:00+00:00,0.704338863,0.275162609,0.67592908,30.16125526,2.409410087,26.18662274,25.77016454,3039.238224,normal,none
2024-01-01 00:03:10+00:00,0.583423113,0.533794598,0.329446916,30.45057589,2.653065166,26.85385884,26.2459566,3067.171988,normal,none
2024-01-01 00:03:20+00:00,0.562813248,0.513341645,0.712725862,30.44492814,2.838753243,26.97970457,27.08468716,3027.323644,normal,none
2024-01-01 00:03:30+00:00,0.577845443,0.573486779,0.486285615,30.17406054,2.755701193,26.84677413,26.76024199,3027.576643,normal,none
2024-01-01 00:03:40+00:00,0.940727676,0.602827313,1.405745605,30.39751791,2.927688928,27.28940309,26.59580961,3072.092681,normal,none
2024-01-01 00:03:50+00:00,0.775963218,0.565216124,0.358323171,30.51334477,2.799280629,26.43480986,26.17127827,3089.04039,normal,none
2024-01-01 00:04:00+00:00,0.749037554,0.853574217,0.757175685,30.34681854,2.57167893,27.27848072,26.69341494,3092.572718,normal,none
2024-01-01 00:04:10+00:00,0.780653453,0.579553143,0.354851315,30.68453659,2.939854756,27.47793832,26.38920814,3084.34558,normal,none
2024-01-01 00:04:20+00:00,0.874462014,0.609582861,0.9623408,30.69942274,2.720102897,26.87575882,27.40504008,3104.442892,normal,none
